인텔® 제품 사양 비교
2024/05/02 22:36:26
 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Core™ Ultra 3 processor 105UL ,Intel® Core™ Ultra 5 processor 125HL ,Intel® Core™ Ultra 5 processor 125UL ,Intel® Core™ Ultra 5 processor 135HL ,Intel® Core™ Ultra 5 processor 135UL ,Intel® Core™ Ultra 7 processor 155HL ,Intel® Core™ Ultra 7 processor 155UL ,Intel® Core™ Ultra 7 processor 165HL ,Intel® Core™ Ultra 7 processor 165UL 
H.265(HEVC) 하드웨어 인코딩/디코딩,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AV1 인코딩/디코딩,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
VP9 Bitstream & 디코딩,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
인텔® 퀵 싱크 비디오,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
지원되는 디스플레이 수 ‡,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
장치 ID,0x7D55,0x7D55,0x7D55,0x7D55,0x7D55,0x7D45,0x7D45,0x7D45,0x7D45,0x7D40,0x7D40,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45,0x7D55,0x7D45
GPU의 인텔® 딥 러닝 부스트(인텔® DL 부스트),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GPU에서 지원하는 AI 소프트웨어 프레임워크,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU
AI Datatype Support on GPU,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32

NPU 사양
NPU 이름‡,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost
최대 주파수,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz
스파시티 지원,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Windows Studio 효과 지원,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NPU에서 지원하는 AI 소프트웨어 프레임워크,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT
AI Datatype Support on NPU,,,,,,,,,,,,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32,Int8 |  FP16 |  FP32

확장 옵션
인텔® Thunderbolt™ 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PCI 지원,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,4.0,4.0,4.0,4.0,4.0 and 3.0,4.0 and 3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
