인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Frequency,,,,,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,,2.20 GHz,,2.50 GHz,,2.20 GHz,2.60 GHz,2.50 GHz,,,,,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,3.90 GHz,3.70 GHz,2.90 GHz,3.20 GHz,,4.60 GHz,4.40 GHz,3.90 GHz,4.30 GHz,3.80 GHz,4.70 GHz,3.90 GHz,4.50 GHz,4.40 GHz,4.00 GHz,4.30 GHz,4.40 GHz,3.80 GHz,3.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-up Frequency,,,,,,,,2.40 GHz,,,,2.60 GHz,,,,,,,,,,,,,,,3.00 GHz,3.00 GHz,2.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-up,,,,,,,,25 W,,,,25 W,,,,,,,,,,,,,,,28 W,28 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,,,,,,,,,,,,,,,,,,,예,,,,예,예,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보조 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상태,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
출시일,Q2'18,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q4'17,Q3'18,Q2'19,Q2'19,Q2'19,Q3'19,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q4'20,Q1'21,Q2'20,Q2'20,Q3'20,Q3'20,Q3'21,Q3'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'23,Q1'23,Q1'23,Q3'22,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'24,Q1'24,Q1'24,Q3'15,Q4'15,Q4'15,Q4'15,Q3'15,Q3'16,Q1'17,Q1'17,Q1'17,Q1'17
사용 가능한 임베디드 옵션,예,아니요,예,예,예,예,예,예,예,예,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,예,예,예,예,예,아니요,아니요,아니요,아니요,아니요,아니요,아니요,예,예,예,아니요,예,예,예,아니요,예,아니요,예,예,예,아니요,예,아니요,예,예,Yes,Yes,Yes,No,예,예,예,예,예,예,예,예,예,예
데이터시트,지금 보기,지금 보기,,,,지금 보기,지금 보기,,,지금 보기,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,,,,지금 보기,지금 보기,지금 보기,,,,,지금 보기,,,,지금 보기,,지금 보기,,,,,,,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기
Included Items,,,,,,,,Premium PCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Solution - E97379,,,,,
Description,,,,,,,,,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,예,예,,,,,,,,,,,,,,
Servicing Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메모리 사양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
